User,Project Description,LDATopic,BERTopic
93,Playlist Enhancer- program observes current playlist finds recommendations similar artists similar genres music.,-1,2
59,use machine learning identify different sound different instruments piece music potentially change different instrument.,-1,2
29,"music recommendation algorithm either take inputs user's favorite artists, songs, genres link streaming service Spotify Apple Music recommend new songs.",-1,2
253,"Music recommendation tool recommends music listeners time period released would play radio together, based sounds music, content lyrics, etc.",-1,2
23,"SignIFY' - Real-time Language Translation Sign Language. would like create system translate sign language gestures spoken language real time, making communication accessible deaf hard hearing.",-1,2
184,"typing practice website foreign keyboard. keyboard layout want use isㄅㄆㄇㄈ (known Zhuyin), used Taiwan.",-1,2
20,"""Singronized""This Mobile Application compares singing (key, lyrics) actual songs, give indicators based voice detection improve accuracy user's singing.",-1,2
382,"music recommendation system across campus. using machine learning also user recommendations, helps recommend users music may enjoy, well maybe local concert/ music events attend. also helps connect may enjoy similar music tastes, help build connection community help people meet new people similar interests.",-1,2
327,engine dynamically create character dialogue using AI,-1,2
85,social media people like listen music.,-1,2
27,software would match shirt outfit based similar shirts worn online.,3,-1
322,app guide people take better pictures using ML analyze popular pictures social media,4,-1
